route,total_tickets,business_tickets,total_revenue,average_revenue_per_ticket
MQF <-> OVB,1724,0,27119400,15730.510440835267
MQF <-> SVX,4391,0,17674400,4025.142336597586
MQF <-> VKO,2074,0,29247400,14101.928640308583
MRV <-> PEE,5549,694,122655600,22104.090827176067
NBC <-> OMS,411,0,5594000,13610.705596107056
NBC <-> ROV,265,0,3290700,12417.735849056604
NBC <-> SCW,676,0,4799600,7100.0
NFG <-> SVO,713,0,15023500,21070.827489481067
NFG <-> VKO,215,0,4580000,21302.325581395347
NJC <-> OVS,3740,0,26014600,6955.775401069519
NNM <-> SVO,4455,0,67344000,15116.498316498317
NOJ <-> NUX,847,0,2795100,3300.0
NOJ <-> SVO,1150,0,25852000,22480.0
NOJ <-> VKO,1061,0,24162600,22773.421300659757
NOZ <-> OVB,9180,1126,34549600,3763.5729847494554
NSK <-> SVX,7278,917,174642900,23996.001648804617
NUX <-> SVO,4701,583,136698300,29078.557753669433
NYA <-> SVO,243,0,4234500,17425.925925925927
NYM <-> UUD,1430,0,35575400,24877.902097902097
OGZ <-> SVO,3030,0,46089000,15210.89108910891
OGZ <-> VKO,1767,218,32549900,18420.996038483307
OMS <-> SVO,4746,583,133029400,28029.793510324485
OMS <-> VKO,2399,0,54650800,22780.65860775323
OMS <-> VKT,4061,0,60548000,14909.628170401378
OVB <-> PEE,10049,1740,224953000,22385.61050850831
OVB <-> SGC,515,0,4624900,8980.388349514564
OVB <-> SLY,3881,0,60282600,15532.749291419737
OVB <-> SVO,25997,1989,904181600,34780.22848790245
OVS <-> SGC,4157,383,25728400,6189.174885734905
OVS <-> SVO,4895,597,98519300,20126.516853932586
OVS <-> UFA,177,0,1566600,8850.847457627118
PEE <-> SVX,7274,926,29222200,4017.3494638438274
PEE <-> ULV,7991,996,63146100,7902.1524214741585
PEE <-> VKO,25946,1944,374771200,14444.276574423804
PES <-> SVO,1043,0,7092400,6800.0
PES <-> TJM,2988,0,54529200,18249.397590361445
PES <-> VKO,3672,0,26629500,7252.0424836601305
PEZ <-> SVO,588,0,3410400,5800.0
REN <-> UFA,4294,0,13416100,3124.3828598043783
REN <-> UUA,4003,0,14534000,3630.776917312016
REN <-> VKO,5668,692,89868000,15855.328158080452
RGK <-> SVO,183,24,7245500,39592.89617486339
ROV <-> SVO,11622,1083,135756700,11681.010153157804
ROV <-> VOG,6181,777,29408000,4757.806180229736
RTW <-> ULY,799,0,3116100,3900.0
RTW <-> VKO,1197,0,9048900,7559.649122807017
SCW <-> SVX,12198,1124,114401600,9378.717822593868
SGC <-> SVX,4629,561,50824800,10979.650032404406
SKX <-> SVO,1521,0,8273400,5439.447731755424
SKX <-> VKO,712,0,3814400,5357.303370786517
SLY <-> VKO,1066,0,21157900,19847.93621013133
STW <-> SVO,1694,0,21363500,12611.275088547816
STW <-> VKO,822,0,10117200,12308.029197080292
SVO <-> SVX,31312,2334,556222600,17763.879662749107
SVO <-> TJM,8195,1007,174367700,21277.32763880415
SVO <-> TOF,3959,479,143099000,36145.23869664057
SVO <-> UFA,15942,2132,238865500,14983.408606197465
SVO <-> ULV,5809,728,51867100,8928.748493716646
SVO <-> ULY,1071,0,8003800,7473.202614379085
SVO <-> USK,188,0,2900400,15427.659574468085
SVO <-> UUA,1636,0,16167800,9882.518337408314
SVO <-> UUS,5178,856,458787600,88603.24449594438
SVO <-> VKT,272,0,5126300,18846.691176470587
SVO <-> VOG,8683,1084,101212700,11656.420591961303
SVX <-> UIK,800,0,19840000,24800.0
TJM <-> UCT,227,0,2150800,9474.88986784141
TJM <-> URJ,8031,1012,33204800,4134.578508280413
TOF <-> VOG,589,79,21293200,36151.44312393888
UCT <-> UFA,337,0,3336300,9900.0
ULV <-> VKO,4753,603,43014600,9049.989480328213
UUD <-> VKO,737,124,43826400,59465.94301221167
VKO <-> VOG,7101,888,80121900,11283.185466835657
VKO <-> VVO,3547,481,291118700,82074.626444883
