route,total_flights,total_passengers,total_available_seats,utilization,delayed_flights,cancelled_flights,delay_rate,cancellation_rate
BAX ↔ VKO,52,1913.0,5044,37.92624900872323,0,0,0.0,0.0
BAX ↔ YKS,17,0.0,1649,0.0,0,1,0.0,5.88235294117647
BQS ↔ KHV,122,4115.0,11834,34.77268886259929,0,1,0.0,0.819672131147541
BTK ↔ DME,122,5397.0,14152,38.135952515545505,0,1,0.0,0.819672131147541
BZK ↔ DME,366,9349.0,35502,26.333727677313956,2,2,0.546448087431694,0.546448087431694
BZK ↔ EGO,122,6147.0,11834,51.94355247591685,0,2,0.0,1.639344262295082
BZK ↔ SVO,366,10543.0,35502,29.696918483465723,1,1,0.273224043715847,0.273224043715847
BZK ↔ VKO,366,6615.0,35502,18.632753084333277,0,1,0.0,0.273224043715847
CEE ↔ LED,244,209.0,2928,7.137978142076502,0,2,0.0,0.819672131147541
CEE ↔ NOZ,17,187.0,1649,11.34020618556701,0,2,0.0,11.76470588235294
CEK ↔ DME,122,7852.0,11834,66.35119148217001,1,1,0.819672131147541,0.819672131147541
CEK ↔ IKT,35,911.0,3395,26.83357879234168,0,2,0.0,5.714285714285714
CEK ↔ PEE,122,2674.0,6100,43.8360655737705,0,0,0.0,0.0
CEK ↔ SGC,244,0.0,2928,0.0,0,2,0.0,0.819672131147541
CEK ↔ STW,53,854.0,2650,32.22641509433962,0,1,0.0,1.8867924528301887
CEK ↔ SWT,122,44.0,1464,3.0054644808743167,0,1,0.0,0.819672131147541
CEK ↔ VOG,122,7619.0,11834,64.38228832178469,0,1,0.0,0.819672131147541
CNN ↔ DME,18,933.0,2088,44.68390804597701,0,0,0.0,0.0
CNN ↔ LED,18,0.0,2088,0.0,0,1,0.0,5.555555555555555
CNN ↔ MJZ,244,306.0,2928,10.450819672131148,0,2,0.0,0.819672131147541
CNN ↔ PEE,18,0.0,2088,0.0,0,0,0.0,0.0
CSY ↔ LED,122,6823.0,11834,57.65590670948115,1,1,0.819672131147541,0.819672131147541
CSY ↔ NBC,122,3012.0,6100,49.37704918032787,0,1,0.0,0.819672131147541
CSY ↔ SVO,122,7667.0,11834,64.78789927328037,0,0,0.0,0.0
CSY ↔ VKO,122,2633.0,6100,43.1639344262295,0,1,0.0,0.819672131147541
CSY ↔ VOG,122,0.0,1464,0.0,0,1,0.0,0.819672131147541
DME ↔ DYR,18,0.0,2088,0.0,0,1,0.0,5.555555555555555
DME ↔ EGO,122,6156.0,11834,52.019604529322294,0,1,0.0,0.819672131147541
DME ↔ ESL,122,6590.0,11834,55.68700354909583,0,1,0.0,0.819672131147541
DME ↔ EYK,18,0.0,900,0.0,0,2,0.0,11.11111111111111
DME ↔ GDZ,52,1362.0,2600,52.38461538461539,0,1,0.0,1.9230769230769231
DME ↔ GRV,122,1170.0,6100,19.18032786885246,0,2,0.0,1.639344262295082
DME ↔ HMA,122,5660.0,11834,47.828291363866825,0,1,0.0,0.819672131147541
DME ↔ JOK,122,0.0,1464,0.0,0,1,0.0,0.819672131147541
DME ↔ KEJ,53,2243.0,5141,43.62964403812487,0,0,0.0,0.0
DME ↔ KGD,122,7729.0,11834,65.31181341896232,0,2,0.0,1.639344262295082
DME ↔ KHV,122,19013.0,27084,70.20011815093781,0,0,0.0,0.0
DME ↔ KRO,54,326.0,2700,12.074074074074074,0,2,0.0,3.7037037037037033
DME ↔ KRR,122,16618.0,27084,61.357258898242506,0,0,0.0,0.0
DME ↔ KUF,122,13050.0,27084,48.18342933097031,0,0,0.0,0.0
DME ↔ KVX,122,690.0,1464,47.13114754098361,1,2,0.819672131147541,1.639344262295082
DME ↔ KZN,122,14202.0,20740,68.47637415621986,0,1,0.0,0.819672131147541
DME ↔ LED,488,19382.0,82960,23.363066538090646,1,0,0.20491803278688525,0.0
DME ↔ LPK,52,0.0,624,0.0,0,2,0.0,3.8461538461538463
DME ↔ MCX,122,3410.0,6100,55.9016393442623,1,2,0.819672131147541,1.639344262295082
DME ↔ MRV,122,9385.0,15860,59.17402269861286,0,0,0.0,0.0
DME ↔ NAL,122,2283.0,6100,37.42622950819673,1,2,0.819672131147541,1.639344262295082
DME ↔ NJC,122,3729.0,6100,61.13114754098361,0,1,0.0,0.819672131147541
DME ↔ NNM,52,1124.0,2600,43.230769230769226,0,1,0.0,1.9230769230769231
DME ↔ NSK,122,7199.0,11834,60.8331924961974,0,2,0.0,1.639344262295082
DME ↔ NUX,122,6423.0,11834,54.275815447017074,1,2,0.819672131147541,1.639344262295082
DME ↔ NYM,122,1780.0,6100,29.18032786885246,0,1,0.0,0.819672131147541
DME ↔ OVB,122,31305.0,49044,63.830437974064104,0,0,0.0,0.0
DME ↔ OVS,244,8106.0,23668,34.24877471691736,0,0,0.0,0.0
DME ↔ PES,122,1380.0,6100,22.62295081967213,0,2,0.0,1.639344262295082
DME ↔ PEZ,244,576.0,2928,19.672131147540984,0,2,0.0,0.819672131147541
DME ↔ PKC,52,2856.0,11544,24.74012474012474,0,2,0.0,3.8461538461538463
DME ↔ PKV,52,0.0,624,0.0,1,2,1.9230769230769231,3.8461538461538463
DME ↔ ROV,244,6166.0,41480,14.864995178399228,1,0,0.4098360655737705,0.0
DME ↔ RTW,122,2338.0,6100,38.32786885245902,0,1,0.0,0.819672131147541
DME ↔ SCW,122,13394.0,27084,49.45355191256831,0,0,0.0,0.0
DME ↔ TBW,244,888.0,2928,30.327868852459016,0,2,0.0,0.819672131147541
DME ↔ TOF,52,2404.0,5044,47.66058683584457,0,2,0.0,3.8461538461538463
DME ↔ ULV,122,8319.0,11834,70.29744803109685,0,2,0.0,1.639344262295082
DME ↔ URJ,122,8035.0,11834,67.89758323474734,0,1,0.0,0.819672131147541
DME ↔ URS,122,2074.0,11834,17.525773195876287,0,1,0.0,0.819672131147541
DME ↔ USK,18,189.0,900,21.0,0,1,0.0,5.555555555555555
DME ↔ UUA,122,3122.0,6100,51.18032786885246,0,2,0.0,1.639344262295082
DME ↔ UUS,122,4197.0,14152,29.656585641605425,0,2,0.0,1.639344262295082
DME ↔ VKT,122,4189.0,6100,68.67213114754098,1,2,0.819672131147541,1.639344262295082
DME ↔ VOZ,122,2191.0,6100,35.91803278688525,0,2,0.0,1.639344262295082
DYR ↔ KHV,17,572.0,1972,29.006085192697768,0,1,0.0,5.88235294117647
DYR ↔ SVO,17,546.0,1972,27.687626774847867,0,1,0.0,5.88235294117647
DYR ↔ VKO,18,0.0,2088,0.0,0,0,0.0,0.0
EGO ↔ ROV,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
ESL ↔ GDZ,35,0.0,420,0.0,0,2,0.0,5.714285714285714
ESL ↔ KGD,35,481.0,1750,27.485714285714284,0,1,0.0,2.857142857142857
ESL ↔ LED,35,481.0,1750,27.485714285714284,0,1,0.0,2.857142857142857
ESL ↔ REN,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
ESL ↔ SVO,122,639.0,1464,43.64754098360656,0,2,0.0,1.639344262295082
ESL ↔ UFA,122,5968.0,11834,50.43096163596417,0,1,0.0,0.819672131147541
EYK ↔ KRO,36,0.0,432,0.0,0,2,0.0,5.555555555555555
EYK ↔ TJM,52,0.0,624,0.0,0,2,0.0,3.8461538461538463
GDX ↔ IKT,35,0.0,3395,0.0,0,2,0.0,5.714285714285714
GDX ↔ MRV,18,414.0,3996,10.36036036036036,0,0,0.0,0.0
GDX ↔ SCW,18,409.0,3996,10.235235235235235,0,1,0.0,5.555555555555555
GDZ ↔ ROV,35,0.0,420,0.0,0,2,0.0,5.714285714285714
GDZ ↔ SVO,53,1365.0,2650,51.509433962264154,0,1,0.0,1.8867924528301887
GDZ ↔ VKO,52,663.0,2600,25.5,0,2,0.0,3.8461538461538463
GOJ ↔ KLF,52,0.0,624,0.0,0,2,0.0,3.8461538461538463
GOJ ↔ LED,122,5357.0,11834,45.267872232550275,0,0,0.0,0.0
GOJ ↔ NAL,122,1536.0,6100,25.18032786885246,0,0,0.0,0.0
GOJ ↔ PEE,122,3230.0,11834,27.294236944397497,0,2,0.0,1.639344262295082
GOJ ↔ SVO,244,8196.0,23668,34.62903498394457,0,0,0.0,0.0
HMA ↔ KVX,122,0.0,1464,0.0,1,2,0.819672131147541,1.639344262295082
HMA ↔ NUX,244,624.0,2928,21.311475409836063,0,2,0.0,0.819672131147541
HMA ↔ OSW,18,0.0,900,0.0,0,2,0.0,11.11111111111111
HMA ↔ OVB,244,0.0,2928,0.0,0,2,0.0,0.819672131147541
HMA ↔ SVX,122,4315.0,11834,36.462734493831334,0,0,0.0,0.0
HMA ↔ VKO,122,2152.0,6100,35.278688524590166,1,2,0.819672131147541,1.639344262295082
HTA ↔ NUX,122,2290.0,6100,37.540983606557376,0,2,0.0,1.639344262295082
HTA ↔ SGC,34,0.0,1700,0.0,0,1,0.0,2.941176470588235
HTA ↔ UFA,36,721.0,4176,17.265325670498086,0,1,0.0,2.7777777777777777
IAR ↔ LED,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
IAR ↔ TOF,18,0.0,900,0.0,0,2,0.0,11.11111111111111
IJK ↔ SVO,122,1442.0,6100,23.639344262295083,0,1,0.0,0.819672131147541
IKT ↔ KZN,122,9800.0,14152,69.24816280384398,1,1,0.819672131147541,0.819672131147541
IKT ↔ LED,122,13759.0,20740,66.34040501446479,1,1,0.819672131147541,0.819672131147541
IKT ↔ MJZ,122,97.0,6100,1.5901639344262295,0,2,0.0,1.639344262295082
IKT ↔ NYM,35,0.0,1750,0.0,0,2,0.0,5.714285714285714
IKT ↔ SGC,122,0.0,6100,0.0,1,1,0.819672131147541,0.819672131147541
IKT ↔ VVO,122,860.0,6100,14.098360655737704,0,2,0.0,1.639344262295082
IWA ↔ SVX,35,0.0,1750,0.0,0,2,0.0,5.714285714285714
JOK ↔ KRR,35,0.0,1750,0.0,0,1,0.0,2.857142857142857
JOK ↔ SVO,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
JOK ↔ VKO,244,0.0,2928,0.0,0,2,0.0,0.819672131147541
KEJ ↔ KYZ,35,0.0,420,0.0,0,2,0.0,5.714285714285714
KEJ ↔ PYJ,18,0.0,900,0.0,0,2,0.0,11.11111111111111
KEJ ↔ SVO,34,2189.0,3298,66.37355973317162,0,1,0.0,2.941176470588235
KEJ ↔ VKO,35,1108.0,4060,27.290640394088673,0,1,0.0,2.857142857142857
KGD ↔ KRR,36,500.0,1800,27.77777777777778,1,1,2.7777777777777777,2.7777777777777777
KGD ↔ SVO,122,7971.0,15860,50.25851197982345,0,1,0.0,0.819672131147541
KGP ↔ NUX,122,654.0,1464,44.67213114754098,0,2,0.0,1.639344262295082
KGP ↔ SVX,244,0.0,2928,0.0,1,2,0.4098360655737705,0.819672131147541
KHV ↔ LED,122,12766.0,27084,47.13483975779057,0,0,0.0,0.0
KHV ↔ UIK,53,800.0,2650,30.18867924528302,0,2,0.0,3.7735849056603774
KHV ↔ UUS,244,594.0,2928,20.28688524590164,0,2,0.0,0.819672131147541
KHV ↔ VVO,122,7893.0,11834,66.69765083657259,0,0,0.0,0.0
KJA ↔ KRO,122,4184.0,6100,68.59016393442623,0,2,0.0,1.639344262295082
KJA ↔ NOZ,244,188.0,2928,6.420765027322404,0,2,0.0,0.819672131147541
KJA ↔ NUX,36,0.0,1800,0.0,0,2,0.0,5.555555555555555
KJA ↔ OVB,244,684.0,2928,23.36065573770492,0,2,0.0,0.819672131147541
KJA ↔ OVS,122,5040.0,11834,42.58914990704749,0,1,0.0,0.819672131147541
KJA ↔ SVO,122,9266.0,14152,65.47484454494065,1,1,0.819672131147541,0.819672131147541
KJA ↔ UIK,244,0.0,2928,0.0,0,2,0.0,0.819672131147541
KJA ↔ UKX,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
KLF ↔ LED,122,608.0,1464,41.53005464480874,1,2,0.819672131147541,1.639344262295082
KLF ↔ OVB,18,0.0,1746,0.0,0,1,0.0,5.555555555555555
KLF ↔ PES,52,0.0,624,0.0,0,2,0.0,3.8461538461538463
KRO ↔ OSW,53,0.0,636,0.0,0,2,0.0,3.7735849056603774
KRO ↔ SVO,36,340.0,1800,18.88888888888889,0,2,0.0,5.555555555555555
KRO ↔ VKO,122,4184.0,6100,68.59016393442623,0,1,0.0,0.819672131147541
KRR ↔ NAL,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
KRR ↔ NOZ,17,186.0,2210,8.416289592760181,0,1,0.0,5.88235294117647
KRR ↔ RGK,18,0.0,2340,0.0,0,1,0.0,5.555555555555555
KRR ↔ ULV,122,10342.0,27084,38.184906217693104,0,0,0.0,0.0
KUF ↔ URS,122,0.0,1464,0.0,1,2,0.819672131147541,1.639344262295082
KVX ↔ KZN,122,7951.0,11834,67.18776406962988,1,2,0.819672131147541,1.639344262295082
KVX ↔ LED,122,8370.0,11834,70.72840966706102,0,2,0.0,1.639344262295082
KVX ↔ OVB,122,8385.0,11834,70.85516308940342,0,0,0.0,0.0
KVX ↔ SVO,122,8428.0,11834,71.2185229001183,0,1,0.0,0.819672131147541
KXK ↔ SVX,35,767.0,7770,9.871299871299872,1,2,2.857142857142857,5.714285714285714
KYZ ↔ SVX,17,0.0,850,0.0,0,1,0.0,5.88235294117647
KZN ↔ LED,122,3442.0,11834,29.08568531350346,0,1,0.0,0.819672131147541
KZN ↔ MCX,35,0.0,1750,0.0,0,2,0.0,5.714285714285714
KZN ↔ MQF,122,1685.0,6100,27.62295081967213,0,2,0.0,1.639344262295082
KZN ↔ MRV,34,195.0,1700,11.470588235294118,0,1,0.0,2.941176470588235
KZN ↔ PKV,18,0.0,900,0.0,0,2,0.0,11.11111111111111
KZN ↔ ROV,244,140.0,2928,4.781420765027322,1,2,0.4098360655737705,0.819672131147541
LED ↔ NJC,122,1201.0,6100,19.688524590163933,0,2,0.0,1.639344262295082
LED ↔ NOJ,35,519.0,1750,29.65714285714286,0,2,0.0,5.714285714285714
LED ↔ OVS,122,76.0,6100,1.2459016393442623,1,2,0.819672131147541,1.639344262295082
LED ↔ PYJ,18,0.0,2340,0.0,0,2,0.0,11.11111111111111
LED ↔ REN,122,880.0,6100,14.426229508196723,0,2,0.0,1.639344262295082
LED ↔ SVO,610,31885.0,103700,30.7473481195757,1,0,0.16393442622950818,0.0
LED ↔ TBW,244,394.0,2928,13.456284153005466,1,2,0.4098360655737705,0.819672131147541
LED ↔ TJM,122,2002.0,6100,32.81967213114754,0,1,0.0,0.819672131147541
LED ↔ VKO,366,21735.0,62220,34.93249758919961,0,1,0.0,0.273224043715847
LED ↔ VKT,36,0.0,1800,0.0,0,2,0.0,5.555555555555555
LED ↔ VOZ,122,745.0,6100,12.21311475409836,0,1,0.0,0.819672131147541
LED ↔ YKS,122,1274.0,14152,9.002261164499718,0,1,0.0,0.819672131147541
LPK ↔ PES,35,0.0,420,0.0,0,2,0.0,5.714285714285714
MCX ↔ MRV,122,7921.0,11834,66.93425722494507,0,2,0.0,1.639344262295082
MCX ↔ SVO,122,11381.0,15860,71.75914249684742,0,1,0.0,0.819672131147541
MJZ ↔ OVB,122,769.0,6100,12.60655737704918,0,2,0.0,1.639344262295082
MJZ ↔ SVO,122,5923.0,15860,37.34552332912989,0,1,0.0,0.819672131147541
MJZ ↔ SVX,34,11.0,3298,0.3335354760460885,0,2,0.0,5.88235294117647
MJZ ↔ YKS,122,3882.0,6100,63.63934426229508,1,1,0.819672131147541,0.819672131147541
MMK ↔ SVO,122,4042.0,11834,34.15582220719959,0,1,0.0,0.819672131147541
MMK ↔ VKO,122,1804.0,6100,29.57377049180328,0,2,0.0,1.639344262295082
MQF ↔ OVB,122,1724.0,6100,28.262295081967213,0,1,0.0,0.819672131147541
MQF ↔ SVX,122,4391.0,6100,71.98360655737704,0,2,0.0,1.639344262295082
MQF ↔ VKO,122,2074.0,6100,34.0,0,1,0.0,0.819672131147541
MRV ↔ PEE,122,5549.0,11834,46.890316038533044,0,1,0.0,0.819672131147541
NBC ↔ OMS,34,411.0,1700,24.176470588235293,0,2,0.0,5.88235294117647
NBC ↔ ROV,53,265.0,2650,10.0,0,1,0.0,1.8867924528301887
NBC ↔ SCW,244,676.0,2928,23.08743169398907,0,2,0.0,0.819672131147541
NFG ↔ SVO,52,713.0,2600,27.423076923076923,0,2,0.0,3.8461538461538463
NFG ↔ VKO,36,215.0,1800,11.944444444444445,0,2,0.0,5.555555555555555
NJC ↔ OVS,122,3740.0,6100,61.31147540983607,0,2,0.0,1.639344262295082
NJC ↔ ULY,18,0.0,900,0.0,0,2,0.0,11.11111111111111
NNM ↔ SVO,122,4455.0,6100,73.0327868852459,0,2,0.0,1.639344262295082
NNM ↔ TJM,18,0.0,900,0.0,0,2,0.0,11.11111111111111
NOJ ↔ NUX,244,847.0,2928,28.927595628415297,0,2,0.0,0.819672131147541
NOJ ↔ SVO,35,1150.0,1750,65.71428571428571,0,1,0.0,2.857142857142857
NOJ ↔ VKO,52,1061.0,2600,40.80769230769231,0,1,0.0,1.9230769230769231
NOZ ↔ NYM,35,0.0,1750,0.0,0,1,0.0,2.857142857142857
NOZ ↔ OVB,244,9180.0,23668,38.78654723677539,0,2,0.0,0.819672131147541
NOZ ↔ TOF,122,0.0,1464,0.0,0,2,0.0,1.639344262295082
NSK ↔ NYM,35,0.0,420,0.0,0,2,0.0,5.714285714285714
NSK ↔ SVX,122,7278.0,11834,61.50076052053406,0,1,0.0,0.819672131147541
NUX ↔ SVO,122,4701.0,11834,39.72452256210918,0,1,0.0,0.819672131147541
NYA ↔ ROV,17,0.0,850,0.0,0,1,0.0,5.88235294117647
NYA ↔ SVO,18,243.0,900,27.0,0,2,0.0,11.11111111111111
NYA ↔ VKO,18,0.0,900,0.0,0,1,0.0,5.555555555555555
NYM ↔ UUD,53,1430.0,2650,53.9622641509434,0,2,0.0,3.7735849056603774
OGZ ↔ SVO,122,3030.0,6100,49.67213114754098,0,2,0.0,1.639344262295082
OGZ ↔ VKO,122,1767.0,11834,14.931553151935104,0,1,0.0,0.819672131147541
OMS ↔ SVO,122,4746.0,11834,40.10478282913639,0,1,0.0,0.819672131147541
OMS ↔ VKO,122,2399.0,6100,39.32786885245901,0,1,0.0,0.819672131147541
OMS ↔ VKT,122,4061.0,6100,66.57377049180327,0,2,0.0,1.639344262295082
OSW ↔ ULV,52,0.0,624,0.0,0,2,0.0,3.8461538461538463
OSW ↔ VKO,18,0.0,900,0.0,0,2,0.0,11.11111111111111
OVB ↔ PEE,122,10049.0,14152,71.00763143018655,0,1,0.0,0.819672131147541
OVB ↔ PYJ,18,0.0,900,0.0,0,2,0.0,11.11111111111111
OVB ↔ RGK,122,0.0,1464,0.0,0,1,0.0,0.819672131147541
OVB ↔ SGC,122,515.0,6100,8.442622950819672,0,1,0.0,0.819672131147541
OVB ↔ SLY,122,3881.0,6100,63.62295081967213,0,1,0.0,0.819672131147541
OVB ↔ SVO,122,25997.0,49044,53.00750346627518,0,1,0.0,0.819672131147541
OVS ↔ SGC,122,4157.0,15860,26.21059268600252,0,1,0.0,0.819672131147541
OVS ↔ SVO,122,4895.0,11834,41.36386682440426,0,2,0.0,1.639344262295082
OVS ↔ TJM,122,0.0,1464,0.0,0,1,0.0,0.819672131147541
OVS ↔ UFA,122,177.0,6100,2.901639344262295,0,2,0.0,1.639344262295082
PEE ↔ SVX,244,7274.0,23668,30.733479803954705,0,2,0.0,0.819672131147541
PEE ↔ ULV,122,7991.0,11834,67.5257731958763,0,1,0.0,0.819672131147541
PEE ↔ VKO,122,25946.0,49044,52.90351521083109,0,0,0.0,0.0
PES ↔ ROV,17,0.0,850,0.0,0,1,0.0,5.88235294117647
PES ↔ SVO,244,1043.0,2928,35.62158469945355,0,2,0.0,0.819672131147541
PES ↔ TJM,122,2988.0,6100,48.98360655737705,0,1,0.0,0.819672131147541
PES ↔ VKO,122,3672.0,6100,60.19672131147541,0,1,0.0,0.819672131147541
PEZ ↔ SVO,122,588.0,1464,40.16393442622951,0,1,0.0,0.819672131147541
PKV ↔ SVO,122,0.0,1464,0.0,1,1,0.819672131147541,0.819672131147541
REN ↔ UFA,122,4294.0,6100,70.39344262295081,0,2,0.0,1.639344262295082
REN ↔ UUA,122,4003.0,6100,65.62295081967213,0,2,0.0,1.639344262295082
REN ↔ VKO,122,5668.0,11834,47.89589318911611,0,0,0.0,0.0
RGK ↔ STW,18,0.0,2340,0.0,0,2,0.0,11.11111111111111
RGK ↔ SVO,18,183.0,2340,7.82051282051282,0,0,0.0,0.0
ROV ↔ SVO,122,11622.0,15860,73.27868852459017,0,1,0.0,0.819672131147541
ROV ↔ TOF,17,0.0,1972,0.0,0,2,0.0,11.76470588235294
ROV ↔ VOG,122,6181.0,11834,52.230860233226295,0,0,0.0,0.0
RTW ↔ ULY,244,799.0,2928,27.28825136612022,0,2,0.0,0.819672131147541
RTW ↔ VKO,122,1197.0,6100,19.62295081967213,0,2,0.0,1.639344262295082
SCW ↔ SVX,122,12198.0,15860,76.91046658259772,0,0,0.0,0.0
SGC ↔ SVX,122,4629.0,11834,39.11610613486564,0,0,0.0,0.0
SGC ↔ UIK,17,0.0,850,0.0,0,2,0.0,11.76470588235294
SGC ↔ URS,34,0.0,1700,0.0,0,0,0.0,0.0
SGC ↔ VKT,244,0.0,2928,0.0,0,2,0.0,0.819672131147541
SKX ↔ SVO,122,1521.0,6100,24.934426229508198,0,2,0.0,1.639344262295082
SKX ↔ VKO,122,712.0,6100,11.672131147540982,0,2,0.0,1.639344262295082
SLY ↔ VKO,122,1066.0,6100,17.475409836065573,0,2,0.0,1.639344262295082
STW ↔ SVO,122,1694.0,6100,27.77049180327869,0,1,0.0,0.819672131147541
STW ↔ VKO,53,822.0,2650,31.018867924528305,0,2,0.0,3.7735849056603774
SVO ↔ SVX,122,31312.0,49044,63.844710871870156,0,0,0.0,0.0
SVO ↔ TJM,122,8195.0,11834,69.24961973973296,0,0,0.0,0.0
SVO ↔ TOF,122,3959.0,11834,33.4544532702383,0,1,0.0,0.819672131147541
SVO ↔ UFA,122,15942.0,27084,58.861320336730174,0,0,0.0,0.0
SVO ↔ ULV,244,5809.0,23668,24.54368767956735,2,0,0.819672131147541,0.0
SVO ↔ ULY,122,1071.0,6100,17.557377049180328,0,2,0.0,1.639344262295082
SVO ↔ USK,18,188.0,900,20.88888888888889,0,2,0.0,11.11111111111111
SVO ↔ UUA,122,1636.0,6100,26.81967213114754,1,0,0.819672131147541,0.0
SVO ↔ UUS,122,5178.0,14152,36.588468061051444,0,1,0.0,0.819672131147541
SVO ↔ VKT,35,272.0,1750,15.542857142857141,0,2,0.0,5.714285714285714
SVO ↔ VOG,122,8683.0,11834,73.37333107993916,1,0,0.819672131147541,0.0
SVX ↔ UIK,36,800.0,1800,44.44444444444444,0,1,0.0,2.7777777777777777
TJM ↔ UCT,122,227.0,6100,3.721311475409836,0,1,0.0,0.819672131147541
TJM ↔ URJ,122,8031.0,11834,67.8637823221227,0,1,0.0,0.819672131147541
TOF ↔ VOG,18,589.0,1746,33.73424971363116,0,1,0.0,5.555555555555555
UCT ↔ UFA,244,337.0,2928,11.509562841530055,0,2,0.0,0.819672131147541
ULV ↔ VKO,122,4753.0,11834,40.16393442622951,0,1,0.0,0.819672131147541
UUD ↔ VKO,52,737.0,6032,12.21816976127321,0,1,0.0,1.9230769230769231
UUD ↔ YKS,36,0.0,1800,0.0,0,1,0.0,2.7777777777777777
UUS ↔ YKS,36,0.0,1800,0.0,0,2,0.0,5.555555555555555
VKO ↔ VOG,122,7101.0,11834,60.0050701368937,0,1,0.0,0.819672131147541
VKO ↔ VVO,122,3547.0,27084,13.096293014325802,0,1,0.0,0.819672131147541
