route,count,mean,median
KGD ↔ KRR,500,21.714380555555554,20.898263888888888
KGD ↔ SVO,7971,20.020077903929522,19.124305555555555
KGP ↔ NUX,654,20.48896958885491,19.906944444444445
KHV ↔ LED,12766,20.036815945567216,19.402083333333334
KHV ↔ UIK,800,22.751515625000003,21.98263888888889
KHV ↔ UUS,594,21.97444234006734,20.74513888888889
KHV ↔ VVO,7893,20.164311907878993,19.345833333333335
KJA ↔ KRO,4184,20.855684187114935,20.276041666666668
KJA ↔ OVB,684,19.414372157244962,18.87777777777778
KJA ↔ OVS,5040,20.668936563051144,20.202083333333334
KJA ↔ SVO,9266,19.525137449936448,18.87152777777778
KLF ↔ LED,608,20.133703399122805,19.481597222222224
KRO ↔ VKO,4184,20.60349828048651,19.9625
KRR ↔ ULV,10342,21.507506875953503,21.081944444444446
KVX ↔ KZN,7951,20.636805380874524,20.117361111111112
KVX ↔ LED,8370,20.9208046263109,20.42326388888889
KVX ↔ OVB,8385,20.91231589147287,20.43888888888889
KVX ↔ SVO,8428,20.616981506749987,19.961458333333333
KXK ↔ SVX,767,21.21124058380414,20.405555555555555
KZN ↔ LED,3442,20.06252360546194,19.322916666666664
KZN ↔ MQF,1685,20.38851384767557,19.68263888888889
LED ↔ NJC,1201,20.038866916458506,19.519444444444446
LED ↔ NOJ,519,22.269654517233995,22.75
LED ↔ REN,880,19.477095959595957,18.87708333333333
LED ↔ SVO,31885,19.630479239628524,18.6125
LED ↔ TJM,2002,20.03233121045621,19.367013888888888
LED ↔ VKO,21735,19.800288672903406,18.91111111111111
LED ↔ VOZ,745,19.763973713646532,19.356944444444444
LED ↔ YKS,1274,19.61502758154544,18.946527777777778
MCX ↔ MRV,7921,19.94789422281137,19.139583333333334
MCX ↔ SVO,11381,20.07548649552373,19.229861111111113
MJZ ↔ OVB,769,21.29905270192169,20.99375
MJZ ↔ SVO,5923,20.460778485939933,19.802083333333332
MJZ ↔ YKS,3882,20.929696712748296,20.368055555555557
MMK ↔ SVO,4042,20.33269197729397,19.613194444444446
MMK ↔ VKO,1804,19.143312315225426,18.288194444444443
MQF ↔ OVB,1724,20.773367008249547,19.77777777777778
MQF ↔ SVX,4391,21.13899073863205,20.590972222222224
MQF ↔ VKO,2074,20.062824118718527,19.615972222222222
MRV ↔ PEE,5549,20.05854145391562,19.31736111111111
NBC ↔ SCW,676,21.017892217291255,20.183333333333334
NFG ↔ SVO,713,20.858473585787753,20.207638888888887
NJC ↔ OVS,3740,20.94421772875817,20.272916666666667
NNM ↔ SVO,4455,20.38475386581868,19.700694444444444
NOJ ↔ NUX,847,20.906356585333857,20.639583333333334
NOJ ↔ SVO,1150,22.263856280193238,21.329166666666666
NOJ ↔ VKO,1061,21.91763862708137,21.511111111111113
NOZ ↔ OVB,9180,20.47073408375696,19.88923611111111
NSK ↔ SVX,7278,20.39245586012641,19.719444444444445
NUX ↔ SVO,4701,19.786170200193812,18.934722222222224
NYM ↔ UUD,1430,21.942068764568763,21.261458333333334
OGZ ↔ SVO,3030,19.464127933626695,18.745833333333334
OGZ ↔ VKO,1767,19.762556593095642,18.81597222222222
OMS ↔ SVO,4746,19.898148587114296,19.18888888888889
OMS ↔ VKO,2399,20.089841253299987,19.479166666666668
OMS ↔ VKT,4061,20.373438910777313,19.604861111111113
OVB ↔ PEE,10049,20.022169148947935,19.413194444444443
OVB ↔ SGC,515,19.839417475728155,19.07638888888889
OVB ↔ SLY,3881,20.77031084485671,20.030555555555555
OVB ↔ SVO,25997,19.951168297196684,19.1875
OVS ↔ SGC,4157,20.84362771630182,20.21388888888889
OVS ↔ SVO,4895,21.25846300079446,20.345833333333335
PEE ↔ SVX,7274,20.50067745089054,19.886111111111113
PEE ↔ ULV,7991,20.426855385920273,20.044444444444444
PEE ↔ VKO,25946,20.09132113063885,19.343402777777776
PES ↔ SVO,1043,19.43715444231384,18.786805555555556
PES ↔ TJM,2988,20.17893820652982,19.615277777777777
PES ↔ VKO,3672,20.04808365861777,19.343055555555555
PEZ ↔ SVO,588,19.744716080876795,19.225
REN ↔ UFA,4294,20.529503215080474,19.81597222222222
REN ↔ UUA,4003,21.004376578677103,20.56875
REN ↔ VKO,5668,20.356822046773306,19.393749999999997
ROV ↔ SVO,11622,19.838155605269698,19.182291666666664
ROV ↔ VOG,6181,21.07376267324597,20.540277777777778
RTW ↔ ULY,799,21.10995167570574,20.508333333333333
RTW ↔ VKO,1197,19.614194049939666,19.199305555555554
SCW ↔ SVX,12198,20.64548576952506,20.287152777777777
SGC ↔ SVX,4629,20.377514942032114,19.8875
SKX ↔ SVO,1521,19.731708397253268,19.035416666666666
SKX ↔ VKO,712,19.52163116416979,18.880555555555556
SLY ↔ VKO,1066,19.808396523869085,19.056944444444444
STW ↔ SVO,1694,19.81379132231405,19.176388888888887
STW ↔ VKO,822,21.16905751554474,20.578819444444445
SVO ↔ SVX,31312,19.904976349145517,19.103472222222223
SVO ↔ TJM,8195,19.879759338349942,19.164583333333333
SVO ↔ TOF,3959,20.07704228761472,19.489583333333332
SVO ↔ UFA,15942,20.012003190384586,19.21597222222222
SVO ↔ ULV,5809,21.689972934718156,21.24861111111111
SVO ↔ ULY,1071,20.37630459591244,19.507638888888888
SVO ↔ UUA,1636,21.113975482205923,20.43819444444444
SVO ↔ UUS,5178,20.027267874769326,19.05034722222222
SVO ↔ VOG,8683,20.53247493505829,19.87847222222222
SVX ↔ UIK,800,22.755595486111112,21.622569444444444
TJM ↔ URJ,8031,20.702825941836494,20.26875
TOF ↔ VOG,589,25.114216657234486,23.993055555555557
ULV ↔ VKO,4753,20.87262649905323,20.257638888888888
UUD ↔ VKO,737,20.938164292175486,20.415972222222223
VKO ↔ VOG,7101,20.901911898167707,20.161805555555556
VKO ↔ VVO,3547,20.407918859443036,19.65972222222222
