route,median_booking_days
GOJ ↔ SVO,19.44236111111111
HMA ↔ NUX,18.897916666666667
HMA ↔ SVX,19.30763888888889
HMA ↔ VKO,19.102083333333333
HTA ↔ NUX,19.67534722222222
HTA ↔ UFA,21.430555555555557
IJK ↔ SVO,18.86875
IKT ↔ KZN,20.51076388888889
IKT ↔ LED,19.854166666666668
IKT ↔ VVO,20.471527777777776
KEJ ↔ SVO,20.738888888888887
KEJ ↔ VKO,21.060069444444444
KGD ↔ KRR,20.898263888888888
KGD ↔ SVO,19.124305555555555
KGP ↔ NUX,19.906944444444445
KHV ↔ LED,19.402083333333334
KHV ↔ UIK,21.98263888888889
KHV ↔ UUS,20.74513888888889
KHV ↔ VVO,19.345833333333335
KJA ↔ KRO,20.276041666666668
KJA ↔ OVB,18.87777777777778
KJA ↔ OVS,20.202083333333334
KJA ↔ SVO,18.87152777777778
KLF ↔ LED,19.481597222222224
KRO ↔ VKO,19.9625
KRR ↔ ULV,21.081944444444446
KVX ↔ KZN,20.117361111111112
KVX ↔ LED,20.42326388888889
KVX ↔ OVB,20.43888888888889
KVX ↔ SVO,19.961458333333333
KXK ↔ SVX,20.405555555555555
KZN ↔ LED,19.322916666666664
KZN ↔ MQF,19.68263888888889
LED ↔ NJC,19.519444444444446
LED ↔ NOJ,22.75
LED ↔ REN,18.87708333333333
LED ↔ SVO,18.6125
LED ↔ TJM,19.367013888888888
LED ↔ VKO,18.91111111111111
LED ↔ VOZ,19.356944444444444
LED ↔ YKS,18.946527777777778
MCX ↔ MRV,19.139583333333334
MCX ↔ SVO,19.229861111111113
MJZ ↔ OVB,20.99375
MJZ ↔ SVO,19.802083333333332
MJZ ↔ YKS,20.368055555555557
MMK ↔ SVO,19.613194444444446
MMK ↔ VKO,18.288194444444443
MQF ↔ OVB,19.77777777777778
MQF ↔ SVX,20.590972222222224
MQF ↔ VKO,19.615972222222222
MRV ↔ PEE,19.31736111111111
NBC ↔ SCW,20.183333333333334
NFG ↔ SVO,20.207638888888887
NJC ↔ OVS,20.272916666666667
NNM ↔ SVO,19.700694444444444
NOJ ↔ NUX,20.639583333333334
NOJ ↔ SVO,21.329166666666666
NOJ ↔ VKO,21.511111111111113
NOZ ↔ OVB,19.88923611111111
NSK ↔ SVX,19.719444444444445
NUX ↔ SVO,18.934722222222224
NYM ↔ UUD,21.261458333333334
OGZ ↔ SVO,18.745833333333334
OGZ ↔ VKO,18.81597222222222
OMS ↔ SVO,19.18888888888889
OMS ↔ VKO,19.479166666666668
OMS ↔ VKT,19.604861111111113
OVB ↔ PEE,19.413194444444443
OVB ↔ SGC,19.07638888888889
OVB ↔ SLY,20.030555555555555
OVB ↔ SVO,19.1875
OVS ↔ SGC,20.21388888888889
OVS ↔ SVO,20.345833333333335
PEE ↔ SVX,19.886111111111113
PEE ↔ ULV,20.044444444444444
PEE ↔ VKO,19.343402777777776
PES ↔ SVO,18.786805555555556
PES ↔ TJM,19.615277777777777
PES ↔ VKO,19.343055555555555
PEZ ↔ SVO,19.225
REN ↔ UFA,19.81597222222222
REN ↔ UUA,20.56875
REN ↔ VKO,19.393749999999997
ROV ↔ SVO,19.182291666666664
ROV ↔ VOG,20.540277777777778
RTW ↔ ULY,20.508333333333333
RTW ↔ VKO,19.199305555555554
SCW ↔ SVX,20.287152777777777
SGC ↔ SVX,19.8875
SKX ↔ SVO,19.035416666666666
SKX ↔ VKO,18.880555555555556
SLY ↔ VKO,19.056944444444444
STW ↔ SVO,19.176388888888887
STW ↔ VKO,20.578819444444445
SVO ↔ SVX,19.103472222222223
SVO ↔ TJM,19.164583333333333
SVO ↔ TOF,19.489583333333332
SVO ↔ UFA,19.21597222222222
SVO ↔ ULV,21.24861111111111
SVO ↔ ULY,19.507638888888888
SVO ↔ UUA,20.43819444444444
SVO ↔ UUS,19.05034722222222
SVO ↔ VOG,19.87847222222222
SVX ↔ UIK,21.622569444444444
TJM ↔ URJ,20.26875
TOF ↔ VOG,23.993055555555557
ULV ↔ VKO,20.257638888888888
UUD ↔ VKO,20.415972222222223
VKO ↔ VOG,20.161805555555556
VKO ↔ VVO,19.65972222222222
