route,total_passengers,total_revenue,revenue_per_passenger
KGD ↔ KRR,500,8607800,17215.6
KGD ↔ SVO,7971,101077200,12680.617237485887
KGP ↔ NUX,654,2877600,4400.0
KHV ↔ LED,12766,1006423100,78836.21337928873
KHV ↔ UIK,800,19179200,23974.0
KHV ↔ UUS,594,3504600,5900.0
KHV ↔ VVO,7893,61210200,7754.998099581908
KJA ↔ KRO,4184,70862400,16936.520076481836
KJA ↔ NOZ,188,827200,4400.0
KJA ↔ OVB,684,4309200,6300.0
KJA ↔ OVS,5040,110133000,21851.785714285714
KJA ↔ SVO,9266,416379800,44936.304770127346
KLF ↔ LED,608,4195200,6900.0
KRO ↔ SVO,340,5953800,17511.176470588234
KRO ↔ VKO,4184,74250400,17746.271510516253
KRR ↔ NOZ,186,7836000,42129.032258064515
KRR ↔ ULV,10342,158685400,15343.782633919938
KVX ↔ KZN,7951,31864700,4007.6342598415295
KVX ↔ LED,8370,114229000,13647.431302270012
KVX ↔ OVB,8385,214826500,25620.333929636254
KVX ↔ SVO,8428,81365800,9654.22401518747
KXK ↔ SVX,767,47484100,61908.865710560625
KZN ↔ LED,3442,52522400,15259.267867518884
KZN ↔ MQF,1685,11205000,6649.851632047477
KZN ↔ MRV,195,2639000,13533.333333333334
KZN ↔ ROV,140,1582000,11300.0
LED ↔ NJC,1201,30132400,25089.425478767695
LED ↔ NOJ,519,12339600,23775.7225433526
LED ↔ OVS,76,1390000,18289.473684210527
LED ↔ REN,880,15874400,18039.090909090908
LED ↔ SVO,31885,254899200,7994.329622079347
LED ↔ TBW,394,4097600,10400.0
LED ↔ TJM,2002,41012300,20485.664335664336
LED ↔ VKO,21735,182319800,8388.304577869796
LED ↔ VOZ,745,7895500,10597.986577181207
LED ↔ YKS,1274,83088500,65218.602825745686
MCX ↔ MRV,7921,39731200,5015.932331776291
MCX ↔ SVO,11381,221423000,19455.49600210878
MJZ ↔ OVB,769,15242400,19821.06631989597
MJZ ↔ SVO,5923,293191600,49500.523383420565
MJZ ↔ SVX,11,445500,40500.0
MJZ ↔ YKS,3882,31693800,8164.296754250387
MMK ↔ SVO,4042,73427700,18166.180108857003
MMK ↔ VKO,1804,26919700,14922.228381374724
MQF ↔ OVB,1724,27119400,15730.510440835267
MQF ↔ SVX,4391,17674400,4025.142336597586
MQF ↔ VKO,2074,29247400,14101.928640308583
MRV ↔ PEE,5549,122655600,22104.090827176067
NBC ↔ OMS,411,5594000,13610.705596107056
NBC ↔ ROV,265,3290700,12417.735849056604
NBC ↔ SCW,676,4799600,7100.0
NFG ↔ SVO,713,15023500,21070.827489481067
NFG ↔ VKO,215,4580000,21302.325581395347
NJC ↔ OVS,3740,26014600,6955.775401069519
NNM ↔ SVO,4455,67344000,15116.498316498317
NOJ ↔ NUX,847,2795100,3300.0
NOJ ↔ SVO,1150,25852000,22480.0
NOJ ↔ VKO,1061,24162600,22773.421300659757
NOZ ↔ OVB,9180,34549600,3763.5729847494554
NSK ↔ SVX,7278,174642900,23996.001648804617
NUX ↔ SVO,4701,136698300,29078.557753669433
NYA ↔ SVO,243,4234500,17425.925925925927
NYM ↔ UUD,1430,35575400,24877.902097902097
OGZ ↔ SVO,3030,46089000,15210.89108910891
OGZ ↔ VKO,1767,32549900,18420.996038483307
OMS ↔ SVO,4746,133029400,28029.793510324485
OMS ↔ VKO,2399,54650800,22780.65860775323
OMS ↔ VKT,4061,60548000,14909.628170401378
OVB ↔ PEE,10049,224953000,22385.61050850831
OVB ↔ SGC,515,4624900,8980.388349514564
OVB ↔ SLY,3881,60282600,15532.749291419737
OVB ↔ SVO,25997,904181600,34780.22848790245
OVS ↔ SGC,4157,25728400,6189.174885734905
OVS ↔ SVO,4895,98519300,20126.516853932586
OVS ↔ UFA,177,1566600,8850.847457627118
PEE ↔ SVX,7274,29222200,4017.3494638438274
PEE ↔ ULV,7991,63146100,7902.1524214741585
PEE ↔ VKO,25946,374771200,14444.276574423804
PES ↔ SVO,1043,7092400,6800.0
PES ↔ TJM,2988,54529200,18249.397590361445
PES ↔ VKO,3672,26629500,7252.0424836601305
PEZ ↔ SVO,588,3410400,5800.0
REN ↔ UFA,4294,13416100,3124.3828598043783
REN ↔ UUA,4003,14534000,3630.776917312016
REN ↔ VKO,5668,89868000,15855.328158080452
RGK ↔ SVO,183,7245500,39592.89617486339
ROV ↔ SVO,11622,135756700,11681.010153157804
ROV ↔ VOG,6181,29408000,4757.806180229736
RTW ↔ ULY,799,3116100,3900.0
RTW ↔ VKO,1197,9048900,7559.649122807017
SCW ↔ SVX,12198,114401600,9378.717822593868
SGC ↔ SVX,4629,50824800,10979.650032404406
SKX ↔ SVO,1521,8273400,5439.447731755424
SKX ↔ VKO,712,3814400,5357.303370786517
SLY ↔ VKO,1066,21157900,19847.93621013133
STW ↔ SVO,1694,21363500,12611.275088547816
STW ↔ VKO,822,10117200,12308.029197080292
SVO ↔ SVX,31312,556222600,17763.879662749107
SVO ↔ TJM,8195,174367700,21277.32763880415
SVO ↔ TOF,3959,143099000,36145.23869664057
SVO ↔ UFA,15942,238865500,14983.408606197465
SVO ↔ ULV,5809,51867100,8928.748493716646
SVO ↔ ULY,1071,8003800,7473.202614379085
SVO ↔ USK,188,2900400,15427.659574468085
SVO ↔ UUA,1636,16167800,9882.518337408314
SVO ↔ UUS,5178,458787600,88603.24449594438
SVO ↔ VKT,272,5126300,18846.691176470587
SVO ↔ VOG,8683,101212700,11656.420591961303
SVX ↔ UIK,800,19840000,24800.0
TJM ↔ UCT,227,2150800,9474.88986784141
TJM ↔ URJ,8031,33204800,4134.578508280413
TOF ↔ VOG,589,21293200,36151.44312393888
UCT ↔ UFA,337,3336300,9900.0
ULV ↔ VKO,4753,43014600,9049.989480328213
UUD ↔ VKO,737,43826400,59465.94301221167
VKO ↔ VOG,7101,80121900,11283.185466835657
VKO ↔ VVO,3547,291118700,82074.626444883
