route,total_passengers
SKX ↔ VKO,712
SLY ↔ VKO,1066
STW ↔ SVO,1694
STW ↔ VKO,822
SVO ↔ SVX,31312
SVO ↔ TJM,8195
SVO ↔ TOF,3959
SVO ↔ UFA,15942
SVO ↔ ULV,5809
SVO ↔ ULY,1071
SVO ↔ USK,188
SVO ↔ UUA,1636
SVO ↔ UUS,5178
SVO ↔ VKT,272
SVO ↔ VOG,8683
SVX ↔ UIK,800
TJM ↔ UCT,227
TJM ↔ URJ,8031
TOF ↔ VOG,589
UCT ↔ UFA,337
ULV ↔ VKO,4753
UUD ↔ VKO,737
VKO ↔ VOG,7101
VKO ↔ VVO,3547
