route,economy_tickets,comfort_tickets,business_tickets,total_tickets,economy_share,comfort_share,business_share
HTA <-> UFA,598,0,123,721,82.94036061026353,0.0,17.05963938973648
IJK <-> SVO,1442,0,0,1442,100.0,0.0,0.0
IKT <-> KZN,8118,0,1682,9800,82.83673469387756,0.0,17.16326530612245
IKT <-> LED,11481,0,2278,13759,83.44356421251544,0.0,16.556435787484556
IKT <-> MJZ,97,0,0,97,100.0,0.0,0.0
IKT <-> VVO,860,0,0,860,100.0,0.0,0.0
KEJ <-> SVO,1908,0,281,2189,87.16308816811329,0.0,12.836911831886708
KEJ <-> VKO,935,0,173,1108,84.38628158844766,0.0,15.613718411552346
KGD <-> KRR,500,0,0,500,100.0,0.0,0.0
KGD <-> SVO,7246,0,725,7971,90.9045289173253,0.0,9.095471082674695
KGP <-> NUX,654,0,0,654,100.0,0.0,0.0
KHV <-> LED,11067,0,1699,12766,86.69121102929657,0.0,13.30878897070343
KHV <-> UIK,800,0,0,800,100.0,0.0,0.0
KHV <-> UUS,594,0,0,594,100.0,0.0,0.0
KHV <-> VVO,6915,0,978,7893,87.60927404028887,0.0,12.390725959711137
KJA <-> KRO,4184,0,0,4184,100.0,0.0,0.0
KJA <-> NOZ,188,0,0,188,100.0,0.0,0.0
KJA <-> OVB,684,0,0,684,100.0,0.0,0.0
KJA <-> OVS,4410,0,630,5040,87.5,0.0,12.5
KJA <-> SVO,7660,0,1606,9266,82.66781782862076,0.0,17.332182171379234
KLF <-> LED,608,0,0,608,100.0,0.0,0.0
KRO <-> SVO,340,0,0,340,100.0,0.0,0.0
KRO <-> VKO,4184,0,0,4184,100.0,0.0,0.0
KRR <-> NOZ,168,0,18,186,90.32258064516128,0.0,9.67741935483871
KRR <-> ULV,8982,0,1360,10342,86.84973892864049,0.0,13.150261071359504
KVX <-> KZN,6982,0,969,7951,87.81285372909068,0.0,12.18714627090932
KVX <-> LED,7341,0,1029,8370,87.70609318996416,0.0,12.293906810035843
KVX <-> OVB,7337,0,1048,8385,87.50149075730471,0.0,12.49850924269529
KVX <-> SVO,7381,0,1047,8428,87.57712387280495,0.0,12.422876127195064
KXK <-> SVX,658,0,109,767,85.78878748370273,0.0,14.21121251629726
KZN <-> LED,3018,0,424,3442,87.68158047646718,0.0,12.31841952353283
KZN <-> MQF,1685,0,0,1685,100.0,0.0,0.0
KZN <-> MRV,195,0,0,195,100.0,0.0,0.0
KZN <-> ROV,140,0,0,140,100.0,0.0,0.0
LED <-> NJC,1201,0,0,1201,100.0,0.0,0.0
LED <-> NOJ,519,0,0,519,100.0,0.0,0.0
LED <-> OVS,76,0,0,76,100.0,0.0,0.0
LED <-> REN,880,0,0,880,100.0,0.0,0.0
LED <-> SVO,26699,0,5186,31885,83.73529872981025,0.0,16.264701270189743
LED <-> TBW,394,0,0,394,100.0,0.0,0.0
LED <-> TJM,2002,0,0,2002,100.0,0.0,0.0
LED <-> VKO,18176,0,3559,21735,83.62548884288015,0.0,16.374511157119855
LED <-> VOZ,745,0,0,745,100.0,0.0,0.0
LED <-> YKS,1055,0,219,1274,82.81004709576139,0.0,17.189952904238616
MCX <-> MRV,6937,0,984,7921,87.57732609519,0.0,12.422673904809999
MCX <-> SVO,10343,0,1038,11381,90.87953606888675,0.0,9.12046393111326
MJZ <-> OVB,769,0,0,769,100.0,0.0,0.0
MJZ <-> SVO,5366,0,557,5923,90.59598176599695,0.0,9.40401823400304
MJZ <-> SVX,9,0,2,11,81.81818181818183,0.0,18.181818181818183
MJZ <-> YKS,3882,0,0,3882,100.0,0.0,0.0
MMK <-> SVO,3526,0,516,4042,87.2340425531915,0.0,12.76595744680851
MMK <-> VKO,1804,0,0,1804,100.0,0.0,0.0
MQF <-> OVB,1724,0,0,1724,100.0,0.0,0.0
MQF <-> SVX,4391,0,0,4391,100.0,0.0,0.0
MQF <-> VKO,2074,0,0,2074,100.0,0.0,0.0
MRV <-> PEE,4855,0,694,5549,87.4932420255902,0.0,12.506757974409805
NBC <-> OMS,411,0,0,411,100.0,0.0,0.0
NBC <-> ROV,265,0,0,265,100.0,0.0,0.0
NBC <-> SCW,676,0,0,676,100.0,0.0,0.0
NFG <-> SVO,713,0,0,713,100.0,0.0,0.0
NFG <-> VKO,215,0,0,215,100.0,0.0,0.0
NJC <-> OVS,3740,0,0,3740,100.0,0.0,0.0
NNM <-> SVO,4455,0,0,4455,100.0,0.0,0.0
NOJ <-> NUX,847,0,0,847,100.0,0.0,0.0
NOJ <-> SVO,1150,0,0,1150,100.0,0.0,0.0
NOJ <-> VKO,1061,0,0,1061,100.0,0.0,0.0
NOZ <-> OVB,8054,0,1126,9180,87.73420479302833,0.0,12.265795206971678
NSK <-> SVX,6361,0,917,7278,87.40038472107722,0.0,12.599615278922782
NUX <-> SVO,4118,0,583,4701,87.59838332269729,0.0,12.401616677302702
NYA <-> SVO,243,0,0,243,100.0,0.0,0.0
NYM <-> UUD,1430,0,0,1430,100.0,0.0,0.0
OGZ <-> SVO,3030,0,0,3030,100.0,0.0,0.0
OGZ <-> VKO,1549,0,218,1767,87.6627051499717,0.0,12.337294850028297
OMS <-> SVO,4163,0,583,4746,87.71597134428994,0.0,12.284028655710072
OMS <-> VKO,2399,0,0,2399,100.0,0.0,0.0
OMS <-> VKT,4061,0,0,4061,100.0,0.0,0.0
OVB <-> PEE,8309,0,1740,10049,82.68484426311076,0.0,17.315155736889242
OVB <-> SGC,515,0,0,515,100.0,0.0,0.0
OVB <-> SLY,3881,0,0,3881,100.0,0.0,0.0
OVB <-> SVO,20808,3200,1989,25997,80.04000461591723,12.309112589914221,7.650882794168558
OVS <-> SGC,3774,0,383,4157,90.78662496993024,0.0,9.213375030069763
OVS <-> SVO,4298,0,597,4895,87.80388151174668,0.0,12.19611848825332
OVS <-> UFA,177,0,0,177,100.0,0.0,0.0
PEE <-> SVX,6348,0,926,7274,87.26972779763541,0.0,12.730272202364587
PEE <-> ULV,6995,0,996,7991,87.53597797522212,0.0,12.464022024777876
PEE <-> VKO,20945,3057,1944,25946,80.72535265551531,11.78216295382718,7.49248439065752
PES <-> SVO,1043,0,0,1043,100.0,0.0,0.0
PES <-> TJM,2988,0,0,2988,100.0,0.0,0.0
PES <-> VKO,3672,0,0,3672,100.0,0.0,0.0
PEZ <-> SVO,588,0,0,588,100.0,0.0,0.0
REN <-> UFA,4294,0,0,4294,100.0,0.0,0.0
REN <-> UUA,4003,0,0,4003,100.0,0.0,0.0
REN <-> VKO,4976,0,692,5668,87.79110797459421,0.0,12.208892025405788
RGK <-> SVO,159,0,24,183,86.88524590163934,0.0,13.114754098360656
ROV <-> SVO,10539,0,1083,11622,90.68146618482189,0.0,9.31853381517811
ROV <-> VOG,5404,0,777,6181,87.42921857304643,0.0,12.570781426953568
RTW <-> ULY,799,0,0,799,100.0,0.0,0.0
RTW <-> VKO,1197,0,0,1197,100.0,0.0,0.0
SCW <-> SVX,11074,0,1124,12198,90.78537465158223,0.0,9.214625348417774
SGC <-> SVX,4068,0,561,4629,87.88075178224238,0.0,12.119248217757615
SKX <-> SVO,1521,0,0,1521,100.0,0.0,0.0
SKX <-> VKO,712,0,0,712,100.0,0.0,0.0
SLY <-> VKO,1066,0,0,1066,100.0,0.0,0.0
STW <-> SVO,1694,0,0,1694,100.0,0.0,0.0
STW <-> VKO,822,0,0,822,100.0,0.0,0.0
SVO <-> SVX,25271,3707,2334,31312,80.7070771589167,11.838911599386817,7.454011241696475
SVO <-> TJM,7188,0,1007,8195,87.71201952410006,0.0,12.28798047589994
SVO <-> TOF,3480,0,479,3959,87.90098509724677,0.0,12.09901490275322
SVO <-> UFA,13810,0,2132,15942,86.62652113912934,0.0,13.373478860870655
SVO <-> ULV,5081,0,728,5809,87.46772249956963,0.0,12.532277500430366
SVO <-> ULY,1071,0,0,1071,100.0,0.0,0.0
SVO <-> USK,188,0,0,188,100.0,0.0,0.0
SVO <-> UUA,1636,0,0,1636,100.0,0.0,0.0
SVO <-> UUS,4322,0,856,5178,83.46852066434917,0.0,16.531479335650832
SVO <-> VKT,272,0,0,272,100.0,0.0,0.0
SVO <-> VOG,7599,0,1084,8683,87.51583554071173,0.0,12.484164459288264
SVX <-> UIK,800,0,0,800,100.0,0.0,0.0
TJM <-> UCT,227,0,0,227,100.0,0.0,0.0
TJM <-> URJ,7019,0,1012,8031,87.39882953554975,0.0,12.601170464450256
TOF <-> VOG,510,0,79,589,86.5874363327674,0.0,13.412563667232597
UCT <-> UFA,337,0,0,337,100.0,0.0,0.0
ULV <-> VKO,4150,0,603,4753,87.31327582579424,0.0,12.686724174205766
UUD <-> VKO,613,0,124,737,83.17503392130257,0.0,16.824966078697422
VKO <-> VOG,6213,0,888,7101,87.4947190536544,0.0,12.505280946345584
VKO <-> VVO,3066,0,481,3547,86.4392444319143,0.0,13.560755568085705
