route,total_flights,delayed_flights,cancelled_flights,delay_rate,cancellation_rate
KGP ↔ NUX,122,0,2,0.0,1.639344262295082
KGP ↔ SVX,244,1,2,0.4098360655737705,0.819672131147541
KHV ↔ LED,122,0,0,0.0,0.0
KHV ↔ UUS,244,0,2,0.0,0.819672131147541
KHV ↔ VVO,122,0,0,0.0,0.0
KJA ↔ KRO,122,0,2,0.0,1.639344262295082
KJA ↔ NOZ,244,0,2,0.0,0.819672131147541
KJA ↔ OVB,244,0,2,0.0,0.819672131147541
KJA ↔ OVS,122,0,1,0.0,0.819672131147541
KJA ↔ SVO,122,1,1,0.819672131147541,0.819672131147541
KJA ↔ UIK,244,0,2,0.0,0.819672131147541
KJA ↔ UKX,122,0,2,0.0,1.639344262295082
KLF ↔ LED,122,1,2,0.819672131147541,1.639344262295082
KRO ↔ VKO,122,0,1,0.0,0.819672131147541
KRR ↔ NAL,122,0,2,0.0,1.639344262295082
KRR ↔ ULV,122,0,0,0.0,0.0
KUF ↔ URS,122,1,2,0.819672131147541,1.639344262295082
KVX ↔ KZN,122,1,2,0.819672131147541,1.639344262295082
KVX ↔ LED,122,0,2,0.0,1.639344262295082
KVX ↔ OVB,122,0,0,0.0,0.0
KVX ↔ SVO,122,0,1,0.0,0.819672131147541
KZN ↔ LED,122,0,1,0.0,0.819672131147541
KZN ↔ MQF,122,0,2,0.0,1.639344262295082
KZN ↔ ROV,244,1,2,0.4098360655737705,0.819672131147541
LED ↔ NJC,122,0,2,0.0,1.639344262295082
LED ↔ OVS,122,1,2,0.819672131147541,1.639344262295082
LED ↔ REN,122,0,2,0.0,1.639344262295082
LED ↔ SVO,610,1,0,0.16393442622950818,0.0
LED ↔ TBW,244,1,2,0.4098360655737705,0.819672131147541
LED ↔ TJM,122,0,1,0.0,0.819672131147541
LED ↔ VKO,366,0,1,0.0,0.273224043715847
LED ↔ VOZ,122,0,1,0.0,0.819672131147541
LED ↔ YKS,122,0,1,0.0,0.819672131147541
MCX ↔ MRV,122,0,2,0.0,1.639344262295082
MCX ↔ SVO,122,0,1,0.0,0.819672131147541
MJZ ↔ OVB,122,0,2,0.0,1.639344262295082
MJZ ↔ SVO,122,0,1,0.0,0.819672131147541
MJZ ↔ YKS,122,1,1,0.819672131147541,0.819672131147541
MMK ↔ SVO,122,0,1,0.0,0.819672131147541
MMK ↔ VKO,122,0,2,0.0,1.639344262295082
MQF ↔ OVB,122,0,1,0.0,0.819672131147541
MQF ↔ SVX,122,0,2,0.0,1.639344262295082
MQF ↔ VKO,122,0,1,0.0,0.819672131147541
MRV ↔ PEE,122,0,1,0.0,0.819672131147541
NBC ↔ SCW,244,0,2,0.0,0.819672131147541
NJC ↔ OVS,122,0,2,0.0,1.639344262295082
NNM ↔ SVO,122,0,2,0.0,1.639344262295082
NOJ ↔ NUX,244,0,2,0.0,0.819672131147541
NOZ ↔ OVB,244,0,2,0.0,0.819672131147541
NOZ ↔ TOF,122,0,2,0.0,1.639344262295082
NSK ↔ SVX,122,0,1,0.0,0.819672131147541
NUX ↔ SVO,122,0,1,0.0,0.819672131147541
OGZ ↔ SVO,122,0,2,0.0,1.639344262295082
OGZ ↔ VKO,122,0,1,0.0,0.819672131147541
OMS ↔ SVO,122,0,1,0.0,0.819672131147541
OMS ↔ VKO,122,0,1,0.0,0.819672131147541
OMS ↔ VKT,122,0,2,0.0,1.639344262295082
OVB ↔ PEE,122,0,1,0.0,0.819672131147541
OVB ↔ RGK,122,0,1,0.0,0.819672131147541
OVB ↔ SGC,122,0,1,0.0,0.819672131147541
OVB ↔ SLY,122,0,1,0.0,0.819672131147541
OVB ↔ SVO,122,0,1,0.0,0.819672131147541
OVS ↔ SGC,122,0,1,0.0,0.819672131147541
OVS ↔ SVO,122,0,2,0.0,1.639344262295082
OVS ↔ TJM,122,0,1,0.0,0.819672131147541
OVS ↔ UFA,122,0,2,0.0,1.639344262295082
PEE ↔ SVX,244,0,2,0.0,0.819672131147541
PEE ↔ ULV,122,0,1,0.0,0.819672131147541
PEE ↔ VKO,122,0,0,0.0,0.0
PES ↔ SVO,244,0,2,0.0,0.819672131147541
PES ↔ TJM,122,0,1,0.0,0.819672131147541
PES ↔ VKO,122,0,1,0.0,0.819672131147541
PEZ ↔ SVO,122,0,1,0.0,0.819672131147541
PKV ↔ SVO,122,1,1,0.819672131147541,0.819672131147541
REN ↔ UFA,122,0,2,0.0,1.639344262295082
REN ↔ UUA,122,0,2,0.0,1.639344262295082
REN ↔ VKO,122,0,0,0.0,0.0
ROV ↔ SVO,122,0,1,0.0,0.819672131147541
ROV ↔ VOG,122,0,0,0.0,0.0
RTW ↔ ULY,244,0,2,0.0,0.819672131147541
RTW ↔ VKO,122,0,2,0.0,1.639344262295082
SCW ↔ SVX,122,0,0,0.0,0.0
SGC ↔ SVX,122,0,0,0.0,0.0
SGC ↔ VKT,244,0,2,0.0,0.819672131147541
SKX ↔ SVO,122,0,2,0.0,1.639344262295082
SKX ↔ VKO,122,0,2,0.0,1.639344262295082
SLY ↔ VKO,122,0,2,0.0,1.639344262295082
STW ↔ SVO,122,0,1,0.0,0.819672131147541
SVO ↔ SVX,122,0,0,0.0,0.0
SVO ↔ TJM,122,0,0,0.0,0.0
SVO ↔ TOF,122,0,1,0.0,0.819672131147541
SVO ↔ UFA,122,0,0,0.0,0.0
SVO ↔ ULV,244,2,0,0.819672131147541,0.0
SVO ↔ ULY,122,0,2,0.0,1.639344262295082
SVO ↔ UUA,122,1,0,0.819672131147541,0.0
SVO ↔ UUS,122,0,1,0.0,0.819672131147541
SVO ↔ VOG,122,1,0,0.819672131147541,0.0
TJM ↔ UCT,122,0,1,0.0,0.819672131147541
TJM ↔ URJ,122,0,1,0.0,0.819672131147541
UCT ↔ UFA,244,0,2,0.0,0.819672131147541
ULV ↔ VKO,122,0,1,0.0,0.819672131147541
VKO ↔ VOG,122,0,1,0.0,0.819672131147541
VKO ↔ VVO,122,0,1,0.0,0.819672131147541
